"","st_code","st_name","st_pop","st_emp","cbsa_code","cbsa_name","cbsa_type","cbsa_pop","cbsa_emp","cbsa_is.top100"
"1","28","Mississippi",2988762,919495,"24740","Greenville, MS","micro",47086,13924,FALSE
"2","28","Mississippi",2988762,919495,"25620","Hattiesburg, MS","metro",167859,55470,FALSE
"3","28","Mississippi",2988762,919495,"46180","Tupelo, MS","micro",165070,70001,FALSE
"4","28","Mississippi",2988762,919495,"24900","Greenwood, MS","micro",39933,12610,FALSE
"5","28","Mississippi",2988762,919495,"24980","Grenada, MS","micro",21278,7543,FALSE
"6","28","Mississippi",2988762,919495,"32820","Memphis, TN-MS-AR","metro",1337738,539734,TRUE
"7","28","Mississippi",2988762,919495,"17380","Cleveland, MS","micro",32592,9339,FALSE
"8","28","Mississippi",2988762,919495,"32620","McComb, MS","micro",39737,13022,FALSE
"9","28","Mississippi",2988762,919495,"25060","Gulfport-Biloxi, MS","metro",409668,132684,FALSE
"10","28","Mississippi",2988762,919495,"46980","Vicksburg, MS","micro",47075,16191,FALSE
"11","28","Mississippi",2988762,919495,"32940","Meridian, MS","micro",103358,33085,FALSE
"12","28","Mississippi",2988762,919495,"44260","Starkville, MS","micro",59309,14139,FALSE
"13","28","Mississippi",2988762,919495,"38100","Picayune, MS","micro",55149,8088,FALSE
"14","28","Mississippi",2988762,919495,"27140","Jackson, MS","metro",598355,224030,TRUE
"15","28","Mississippi",2988762,919495,"37060","Oxford, MS","micro",53459,17428,FALSE
"16","28","Mississippi",2988762,919495,"18060","Columbus, MS","micro",59437,21467,FALSE
"17","28","Mississippi",2988762,919495,"15020","Brookhaven, MS","micro",34432,10692,FALSE
"18","28","Mississippi",2988762,919495,"29860","Laurel, MS","micro",84983,25669,FALSE
"19","28","Mississippi",2988762,919495,"26940","Indianola, MS","micro",26532,5456,FALSE
"20","28","Mississippi",2988762,919495,"35020","Natchez, MS-LA","micro",51568,13927,FALSE
"21","28","Mississippi",2988762,919495,"48500","West Point, MS","micro",19808,4435,FALSE
"22","29","Missouri",6090062,2463019,"32180","Marshall, MO","micro",23102,7065,FALSE
"23","29","Missouri",6090062,2463019,"32340","Maryville, MO","micro",22547,5809,FALSE
"24","29","Missouri",6090062,2463019,"16020","Cape Girardeau, MO-IL","metro",97137,39925,FALSE
"25","29","Missouri",6090062,2463019,"44180","Springfield, MO","metro",458834,187570,FALSE
"26","29","Missouri",6090062,2463019,"28140","Kansas City, MO-KS","metro",2106632,954263,TRUE
"27","29","Missouri",6090062,2463019,"48460","West Plains, MO","micro",40102,12434,FALSE
"28","29","Missouri",6090062,2463019,"47660","Warrensburg, MO","micro",53689,10457,FALSE
"29","29","Missouri",6090062,2463019,"30060","Lebanon, MO","micro",35507,11610,FALSE
"30","29","Missouri",6090062,2463019,"40620","Rolla, MO","micro",44789,14248,FALSE
"31","29","Missouri",6090062,2463019,"22100","Farmington, MO","micro",66342,18932,FALSE
"32","29","Missouri",6090062,2463019,"41140","St. Joseph, MO-KS","metro",126779,48854,FALSE
"33","29","Missouri",6090062,2463019,"25300","Hannibal, MO","micro",38889,14830,FALSE
"34","29","Missouri",6090062,2463019,"27620","Jefferson City, MO","metro",151157,53991,FALSE
"35","29","Missouri",6090062,2463019,"38740","Poplar Bluff, MO","micro",56426,17711,FALSE
"36","29","Missouri",6090062,2463019,"41180","St. Louis, MO-IL","metro",2805551,1249653,TRUE
"37","29","Missouri",6090062,2463019,"33020","Mexico, MO","micro",25735,6931,FALSE
"38","29","Missouri",6090062,2463019,"28860","Kirksville, MO","micro",29827,7790,FALSE
"39","29","Missouri",6090062,2463019,"22800","Fort Madison-Keokuk, IA-IL-MO","micro",59453,18293,FALSE
"40","29","Missouri",6090062,2463019,"39500","Quincy, IL-MO","micro",76454,33402,FALSE
"41","29","Missouri",6090062,2463019,"17860","Columbia, MO","metro",204250,85884,FALSE
"42","29","Missouri",6090062,2463019,"28380","Kennett, MO","micro",30428,6923,FALSE
"43","29","Missouri",6090062,2463019,"42740","Sedalia, MO","micro",42371,17664,FALSE
"44","29","Missouri",6090062,2463019,"33620","Moberly, MO","micro",24945,7354,FALSE
"45","29","Missouri",6090062,2463019,"22780","Fort Leonard Wood, MO","micro",52591,8587,FALSE
"46","29","Missouri",6090062,2463019,"14700","Branson, MO","micro",54720,24001,FALSE
"47","29","Missouri",6090062,2463019,"27900","Joplin, MO","metro",177440,70980,FALSE
"48","30","Montana",1041732,360257,"15580","Butte-Silver Bow, MT","micro",34814,12733,FALSE
"49","30","Montana",1041732,360257,"25740","Helena, MT","micro",78855,27164,FALSE
"50","30","Montana",1041732,360257,"13740","Billings, MT","metro",177772,74052,FALSE
"51","30","Montana",1041732,360257,"28060","Kalispell, MT","micro",98082,38395,FALSE
"52","31","Nebraska",1904760,808260,"25580","Hastings, NE","micro",31583,13642,FALSE
"53","31","Nebraska",1904760,808260,"30700","Lincoln, NE","metro",327221,144760,FALSE
"54","31","Nebraska",1904760,808260,"42420","Scottsbluff, NE","micro",38217,13508,FALSE
"55","31","Nebraska",1904760,808260,"24260","Grand Island, NE","metro",75551,33756,FALSE
"56","31","Nebraska",1904760,808260,"30420","Lexington, NE","micro",25819,9436,FALSE
"57","31","Nebraska",1904760,808260,"36540","Omaha-Council Bluffs, NE-IA","metro",922891,419890,TRUE
"58","31","Nebraska",1904760,808260,"23340","Fremont, NE","micro",36683,16263,FALSE
"59","31","Nebraska",1904760,808260,"43580","Sioux City, IA-NE-SD","metro",143638,67718,FALSE
"60","31","Nebraska",1904760,808260,"13100","Beatrice, NE","micro",21595,7328,FALSE
"61","31","Nebraska",1904760,808260,"28260","Kearney, NE","micro",55582,25062,FALSE
"62","31","Nebraska",1904760,808260,"35740","Norfolk, NE","micro",48313,20858,FALSE
"63","31","Nebraska",1904760,808260,"35820","North Platte, NE","micro",36773,12388,FALSE
"64","31","Nebraska",1904760,808260,"18100","Columbus, NE","micro",33063,16615,FALSE
"65","32","Nevada",2922849,1149619,"21980","Fallon, NV","micro",24010,5169,FALSE
"66","32","Nevada",2922849,1149619,"23820","Gardnerville Ranchos, NV","micro",47828,17306,FALSE
"67","32","Nevada",2922849,1149619,"49080","Winnemucca, NV","micro",16904,5732,FALSE
"68","32","Nevada",2922849,1149619,"21220","Elko, NV","micro",54082,20105,FALSE
"69","32","Nevada",2922849,1149619,"37220","Pahrump, NV","micro",43705,9285,FALSE
"70","32","Nevada",2922849,1149619,"39900","Reno, NV","metro",454427,195817,FALSE
"71","32","Nevada",2922849,1149619,"29820","Las Vegas-Henderson-Paradise, NV","metro",2141574,857591,TRUE
"72","32","Nevada",2922849,1149619,"16180","Carson City, NV","metro",54467,20905,FALSE
"73","32","Nevada",2922849,1149619,"22280","Fernley, NV","micro",53155,10494,FALSE
"74","33","New Hampshire",1343622,569277,"28300","Keene, NH","micro",76263,26755,FALSE
"75","33","New Hampshire",1343622,569277,"18180","Concord, NH","micro",149452,64695,FALSE
"76","33","New Hampshire",1343622,569277,"30100","Lebanon, NH-VT","micro",217300,88232,FALSE
"77","33","New Hampshire",1343622,569277,"14460","Boston-Cambridge-Newton, MA-NH","metro",4811732,2534539,TRUE
"78","33","New Hampshire",1343622,569277,"29060","Laconia, NH","micro",60640,21622,FALSE
"79","33","New Hampshire",1343622,569277,"31700","Manchester-Nashua, NH","metro",411087,186614,FALSE
"80","33","New Hampshire",1343622,569277,"13620","Berlin, NH","micro",32038,8928,FALSE
"81","34","New Jersey",8881845,3538599,"35620","New York-Newark-Jersey City, NY-NJ-PA","metro",19318471,8166817,TRUE
"82","34","New Jersey",8881845,3538599,"47220","Vineland-Bridgeton, NJ","metro",153400,47231,FALSE
"83","34","New Jersey",8881845,3538599,"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","metro",6069448,2628893,TRUE
"84","34","New Jersey",8881845,3538599,"10900","Allentown-Bethlehem-Easton, PA-NJ","metro",834615,331950,TRUE
"85","35","New Mexico",2092434,617213,"21580","Española, NM","micro",39307,6015,FALSE
"86","35","New Mexico",2092434,617213,"29780","Las Vegas, NM","micro",32597,6976,FALSE
"87","35","New Mexico",2092434,617213,"10740","Albuquerque, NM","metro",910012,303614,TRUE
"88","35","New Mexico",2092434,617213,"10460","Alamogordo, NM","micro",65745,12262,FALSE
"89","35","New Mexico",2092434,617213,"24380","Grants, NM","micro",26978,5382,FALSE
"90","35","New Mexico",2092434,617213,"43500","Silver City, NM","micro",28061,6981,FALSE
"91","35","New Mexico",2092434,617213,"19700","Deming, NM","micro",24264,4414,FALSE
"92","35","New Mexico",2092434,617213,"23700","Gallup, NM","micro",72849,16515,FALSE
"93","35","New Mexico",2092434,617213,"45340","Taos, NM","micro",32888,8915,FALSE
"94","35","New Mexico",2092434,617213,"16100","Carlsbad-Artesia, NM","micro",57437,22547,FALSE
"95","35","New Mexico",2092434,617213,"40760","Ruidoso, NM","micro",19482,5045,FALSE
"96","35","New Mexico",2092434,617213,"26020","Hobbs, NM","micro",70126,23401,FALSE
"97","35","New Mexico",2092434,617213,"42140","Santa Fe, NM","metro",148917,46842,FALSE
"98","35","New Mexico",2092434,617213,"29740","Las Cruces, NM","metro",215338,52980,FALSE
"99","36","New York",19618453,8008086,"10580","Albany-Schenectady-Troy, NY","metro",880481,353006,TRUE
"100","36","New York",19618453,8008086,"45060","Syracuse, NY","metro",654705,259742,TRUE
"101","36","New York",19618453,8008086,"38460","Plattsburgh, NY","micro",80794,24533,FALSE
"102","36","New York",19618453,8008086,"42900","Seneca Falls, NY","micro",34612,10540,FALSE
"103","36","New York",19618453,8008086,"35620","New York-Newark-Jersey City, NY-NJ-PA","metro",19318471,8166817,TRUE
"104","36","New York",19618453,8008086,"31660","Malone, NY","micro",50692,10816,FALSE
"105","36","New York",19618453,8008086,"40380","Rochester, NY","metro",1074667,453814,TRUE
"106","36","New York",19618453,8008086,"18500","Corning, NY","micro",96927,25675,FALSE
"107","36","New York",19618453,8008086,"24020","Glens Falls, NY","metro",126308,42072,FALSE
"108","36","New York",19618453,8008086,"27460","Jamestown-Dunkirk-Fredonia, NY","micro",129656,40414,FALSE
"109","36","New York",19618453,8008086,"13780","Binghamton, NY","metro",243447,79415,FALSE
"110","36","New York",19618453,8008086,"12180","Auburn, NY","micro",77868,19031,FALSE
"111","36","New York",19618453,8008086,"26460","Hudson, NY","micro",60919,16643,FALSE
"112","36","New York",19618453,8008086,"15380","Buffalo-Cheektowaga, NY","metro",1131570,482984,TRUE
"113","36","New York",19618453,8008086,"11220","Amsterdam, NY","micro",49426,15151,FALSE
"114","36","New York",19618453,8008086,"27060","Ithaca, NY","metro",102962,48258,FALSE
"115","36","New York",19618453,8008086,"18660","Cortland, NY","micro",48123,15006,FALSE
"116","36","New York",19618453,8008086,"48060","Watertown-Fort Drum, NY","metro",114448,29772,FALSE
"117","36","New York",19618453,8008086,"46540","Utica-Rome, NY","metro",293287,100149,FALSE
"118","36","New York",19618453,8008086,"21300","Elmira, NY","metro",85740,30377,FALSE
"119","36","New York",19618453,8008086,"36580","Oneonta, NY","micro",60244,18572,FALSE
"120","36","New York",19618453,8008086,"12860","Batavia, NY","micro",58112,16485,FALSE
"121","36","New York",19618453,8008086,"39100","Poughkeepsie-Newburgh-Middletown, NY","metro",672121,215318,TRUE
"122","37","North Carolina",10155624,3689006,"25860","Hickory-Lenoir-Morganton, NC","metro",365339,135351,FALSE
"123","37","North Carolina",10155624,3689006,"35100","New Bern, NC","metro",125519,31352,FALSE
"124","37","North Carolina",10155624,3689006,"40580","Rocky Mount, NC","metro",147335,48269,FALSE
"125","37","North Carolina",10155624,3689006,"22180","Fayetteville, NC","metro",515706,120741,FALSE
"126","37","North Carolina",10155624,3689006,"11700","Asheville, NC","metro",449937,172341,FALSE
"127","37","North Carolina",10155624,3689006,"16740","Charlotte-Concord-Gastonia, NC-SC","metro",2498431,1058398,TRUE
"128","37","North Carolina",10155624,3689006,"40260","Roanoke Rapids, NC","micro",71923,17132,FALSE
"129","37","North Carolina",10155624,3689006,"25780","Henderson, NC","micro",44482,13779,FALSE
"130","37","North Carolina",10155624,3689006,"47260","Virginia Beach-Norfolk-Newport News, VA-NC","metro",1758598,621229,TRUE
"131","37","North Carolina",10155624,3689006,"49180","Winston-Salem, NC","metro",661798,237640,TRUE
"132","37","North Carolina",10155624,3689006,"28620","Kill Devil Hills, NC","micro",35741,14515,FALSE
"133","37","North Carolina",10155624,3689006,"48980","Wilson, NC","micro",81336,31152,FALSE
"134","37","North Carolina",10155624,3689006,"21020","Elizabeth City, NC","micro",52938,12455,FALSE
"135","37","North Carolina",10155624,3689006,"24660","Greensboro-High Point, NC","metro",757810,323805,TRUE
"136","37","North Carolina",10155624,3689006,"19000","Cullowhee, NC","micro",56510,15298,FALSE
"137","37","North Carolina",10155624,3689006,"38240","Pinehurst-Southern Pines, NC","micro",95629,31029,FALSE
"138","37","North Carolina",10155624,3689006,"31300","Lumberton, NC","micro",133442,31627,FALSE
"139","37","North Carolina",10155624,3689006,"10620","Albemarle, NC","micro",61114,16253,FALSE
"140","37","North Carolina",10155624,3689006,"39580","Raleigh-Cary, NC","metro",1302632,520170,TRUE
"141","37","North Carolina",10155624,3689006,"20500","Durham-Chapel Hill, NC","metro",617365,274514,TRUE
"142","37","North Carolina",10155624,3689006,"32000","Marion, NC","micro",45109,13541,FALSE
"143","37","North Carolina",10155624,3689006,"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","metro",447775,138378,FALSE
"144","37","North Carolina",10155624,3689006,"47820","Washington, NC","micro",47243,12576,FALSE
"145","37","North Carolina",10155624,3689006,"28820","Kinston, NC","micro",57227,24290,FALSE
"146","37","North Carolina",10155624,3689006,"22580","Forest City, NC","micro",66532,15861,FALSE
"147","37","North Carolina",10155624,3689006,"27340","Jacksonville, NC","metro",193912,35541,FALSE
"148","37","North Carolina",10155624,3689006,"41820","Sanford, NC","micro",60125,23548,FALSE
"149","37","North Carolina",10155624,3689006,"48900","Wilmington, NC","metro",283251,108659,FALSE
"150","37","North Carolina",10155624,3689006,"24140","Goldsboro, NC","metro",124002,33960,FALSE
"151","37","North Carolina",10155624,3689006,"29900","Laurinburg, NC","micro",35262,9606,FALSE
"152","37","North Carolina",10155624,3689006,"15500","Burlington, NC","metro",160576,59276,FALSE
"153","38","North Dakota",752201,333146,"48780","Williston, ND","micro",34061,19329,FALSE
"154","38","North Dakota",752201,333146,"19860","Dickinson, ND","micro",31822,14558,FALSE
"155","38","North Dakota",752201,333146,"13900","Bismarck, ND","metro",126118,56813,FALSE
"156","38","North Dakota",752201,333146,"22020","Fargo, ND-MN","metro",237003,122574,FALSE
"157","38","North Dakota",752201,333146,"47420","Wahpeton, ND-MN","micro",22631,7532,FALSE
"158","38","North Dakota",752201,333146,"24220","Grand Forks, ND-MN","metro",101991,42714,FALSE
