"state","placefp","county","stab","cntyname","placenm","pop16","afact","AFACT2"
"State code","Place code","County code","State abbreviation","County name","Place name","Population (2016 est.)","placefp to county allocation factor","county to placefp allocation factor"
"01","00100","01017","AL","Chambers AL","Abanda CDP, AL",189.912,1,0.006 
"01","00124","01067","AL","Henry AL","Abbeville city, AL",2666.561,1,0.155 
"01","00460","01073","AL","Jefferson AL","Adamsville city, AL",4529.245,1,0.007 
"01","00484","01133","AL","Winston AL","Addison town, AL",736.979,1,0.031 
"01","00676","01065","AL","Hale AL","Akron town, AL",337.748,1,0.023 
"01","00820","01117","AL","Shelby AL","Alabaster city, AL",32769.3,1,0.156 
"01","00988","01095","AL","Marshall AL","Albertville city, AL",21646.353,1,0.227 
"01","01132","01123","AL","Tallapoosa AL","Alexander City city, AL",14557.241,1,0.357 
"01","01180","01015","AL","Calhoun AL","Alexandria CDP, AL",3786.149,1,0.033 
"01","01228","01107","AL","Pickens AL","Aliceville city, AL",2558.77,1,0.126 
"01","01396","01009","AL","Blount AL","Allgood town, AL",626.145,1,0.011 
"01","01660","01009","AL","Blount AL","Altoona town, AL",30.2,0.033,0.001 
"01","01660","01055","AL","Etowah AL","Altoona town, AL",886.865,0.967,0.009 
"01","01708","01039","AL","Covington AL","Andalusia city, AL",8941.715,1,0.239 
"01","01756","01077","AL","Lauderdale AL","Anderson town, AL",280.811,1,0.003 
"01","01852","01015","AL","Calhoun AL","Anniston city, AL",22334.124,1,0.195 
"01","02116","01043","AL","Cullman AL","Arab city, AL",27.693,0.003,0 
"01","02116","01095","AL","Marshall AL","Arab city, AL",8207.405,0.997,0.086 
"01","02260","01083","AL","Limestone AL","Ardmore town, AL",1337.816,1,0.014 
"01","02320","01073","AL","Jefferson AL","Argo town, AL",61.098,0.014,0 
"01","02320","01115","AL","St. Clair AL","Argo town, AL",4222.318,0.986,0.048 
"01","02428","01045","AL","Dale AL","Ariton town, AL",748.416,1,0.015 
"01","02500","01133","AL","Winston AL","Arley town, AL",347.1,1,0.015 
"01","02836","01069","AL","Houston AL","Ashford town, AL",2201.072,1,0.021 
"01","02860","01027","AL","Clay AL","Ashland town, AL",1972.668,1,0.146 
