"state","puma12","county14","stab","cntyname2","PUMAname","pop16","afact","AFACT2"
"State code","PUMA (2012)","County code (2014)","State abbreviation","2014 county name","PUMA12 name","Population (2016 est.)","puma12 to county14 allocation factor","county14 to puma12 allocation factor"
"01","00100","01033","AL","Colbert AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",54216,0.292,1 
"01","00100","01059","AL","Franklin AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",31628,0.17,1 
"01","00100","01077","AL","Lauderdale AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",92318,0.497,1 
"01","00100","01093","AL","Marion AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",7655.455,0.041,0.255 
"01","00200","01083","AL","Limestone AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",92753,0.494,1 
"01","00200","01089","AL","Madison AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",94931.124,0.506,0.266 
"01","00301","01089","AL","Madison AL","Huntsville (North) & Madison (East) Cities",126793.754,1,0.355 
"01","00302","01089","AL","Madison AL","Huntsville City (Central & South)",108240.183,1,0.303 
"01","00400","01049","AL","DeKalb AL","DeKalb & Jackson Counties",70900,0.576,1 
"01","00400","01071","AL","Jackson AL","DeKalb & Jackson Counties",52138,0.424,1 
"01","00500","01089","AL","Madison AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",27001.939,0.221,0.076 
"01","00500","01095","AL","Marshall AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",95157,0.779,1 
"01","00600","01079","AL","Lawrence AL","Morgan & Lawrence Counties--Decatur City",33244,0.218,1 
"01","00600","01103","AL","Morgan AL","Morgan & Lawrence Counties--Decatur City",119012,0.782,1 
"01","00700","01043","AL","Cullman AL","Cullman & Winston Counties",82471,0.776,1 
"01","00700","01133","AL","Winston AL","Cullman & Winston Counties",23805,0.224,1 
"01","00800","01009","AL","Blount AL","St. Clair & Blount Counties",57704,0.396,1 
"01","00800","01115","AL","St. Clair AL","St. Clair & Blount Counties",88019,0.604,1 
"01","00900","01055","AL","Etowah AL","Etowah County",102564,1,1 
"01","01000","01019","AL","Cherokee AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",25725,0.164,1 
"01","01000","01027","AL","Clay AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",13492,0.086,1 
"01","01000","01029","AL","Cleburne AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",14924,0.095,1 
"01","01000","01111","AL","Randolph AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",22652,0.144,1 
"01","01000","01121","AL","Talladega AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",80103,0.511,1 
"01","01100","01015","AL","Calhoun AL","Calhoun County",114611,1,1 
"01","01200","01117","AL","Shelby AL","Shelby County",210622,1,1 
"01","01301","01073","AL","Jefferson AL","Birmingham City (West)",100994.556,1,0.153 
"01","01302","01073","AL","Jefferson AL","Birmingham City (East)",102261.582,1,0.155 
"01","01303","01073","AL","Jefferson AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",170417.608,1,0.258 
"01","01304","01073","AL","Jefferson AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",174952.863,1,0.265 
"01","01305","01073","AL","Jefferson AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",110894.392,1,0.168 
"01","01400","01057","AL","Fayette AL","Walker, Marion (South & West), Fayette & Lamar Counties",16546,0.14,1 
"01","01400","01075","AL","Lamar AL","Walker, Marion (South & West), Fayette & Lamar Counties",13918,0.118,1 
"01","01400","01093","AL","Marion AL","Walker, Marion (South & West), Fayette & Lamar Counties",22342.545,0.19,0.745 
"01","01400","01127","AL","Walker AL","Walker, Marion (South & West), Fayette & Lamar Counties",64967,0.552,1 
"01","01500","01107","AL","Pickens AL","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)",20324,0.186,1 
"01","01500","01125","AL","Tuscaloosa AL","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)",88967.886,0.814,0.432 
"01","01600","01125","AL","Tuscaloosa AL","Tuscaloosa & Northport (Southeast) Cities",117134.114,1,0.568 
"01","01700","01007","AL","Bibb AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",22643,0.176,1 
"01","01700","01047","AL","Dallas AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",40008,0.312,1 
"01","01700","01063","AL","Greene AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",8422,0.066,1 
"01","01700","01065","AL","Hale AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",14952,0.117,1 
"01","01700","01091","AL","Marengo AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",19673,0.153,1 
"01","01700","01105","AL","Perry AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",9574,0.075,1 
"01","01700","01119","AL","Sumter AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",13040,0.102,1 
"01","01800","01017","AL","Chambers AL","Chilton, Tallapoosa, Chambers & Coosa Counties",33843,0.262,1 
"01","01800","01021","AL","Chilton AL","Chilton, Tallapoosa, Chambers & Coosa Counties",43941,0.34,1 
"01","01800","01037","AL","Coosa AL","Chilton, Tallapoosa, Chambers & Coosa Counties",10581,0.082,1 
"01","01800","01123","AL","Tallapoosa AL","Chilton, Tallapoosa, Chambers & Coosa Counties",40727,0.315,1 
