cbsa,cbsatitle,year,population,rank,top100,metrosize
10420,"Akron, OH",2018,704845,82,1,Large
10580,"Albany-Schenectady-Troy, NY",2018,883169,63,1,Large
10740,"Albuquerque, NM",2018,915927,60,1,Large
10900,"Allentown-Bethlehem-Easton, PA-NJ",2018,842913,70,1,Large
11100,"Amarillo, TX",2018,265947,183,1,Midsized
11260,"Anchorage, AK ",2018,399148,136,1,Midsized
11460,"Ann Arbor, MI ",2018,370963,146,1,Midsized
11700,"Asheville, NC",2018,459585,119,1,Midsized
12060,"Atlanta-Sandy Springs-Alpharetta, GA",2018,5949951,9,1,Very Large
12100,"Atlantic City-Hammonton, NJ",2018,265429,185,1,Midsized
12260,"Augusta-Richmond County, GA-SC",2018,604167,95,1,Large
12420,"Austin-Round Rock-Georgetown, TX",2018,2168316,30,1,Very Large
12540,"Bakersfield, CA",2018,896764,62,1,Large
12580,"Baltimore-Columbia-Towson, MD",2018,2802789,21,1,Very Large
12940,"Baton Rouge, LA",2018,853610,67,1,Large
13140,"Beaumont-Port Arthur, TX ",2018,395780,139,1,Midsized
13820,"Birmingham-Hoover, AL",2018,1088090,50,1,Very Large
14260,"Boise City, ID",2018,730426,80,1,Large
14460,"Boston-Cambridge-Newton, MA-NH",2018,4875390,10,1,Very Large
14500,"Boulder, CO ",2018,326078,155,1,Midsized
14740,"Bremerton-Silverdale-Port Orchard, WA",2018,269805,181,1,Midsized
14860,"Bridgeport-Stamford-Norwalk, CT",2018,943823,58,1,Large
15180,"Brownsville-Harlingen, TX",2018,423908,128,1,Midsized
15380,"Buffalo-Cheektowaga, NY",2018,1130152,49,1,Very Large
15940,"Canton-Massillon, OH ",2018,398655,137,1,Midsized
15980,"Cape Coral-Fort Myers, FL",2018,754610,76,1,Large
16300,"Cedar Rapids, IA",2018,272295,178,1,Midsized
16620,"Charleston, WV ",2018,260342,189,1,Midsized
16700,"Charleston-North Charleston, SC",2018,787643,74,1,Large
16740,"Charlotte-Concord-Gastonia, NC-SC",2018,2594090,22,1,Very Large
16860,"Chattanooga, TN-GA",2018,560793,99,1,Large
16980,"Chicago-Naperville-Elgin, IL-IN-WI",2018,9498716,3,1,Very Large
