"state","zcta5","county","stab","cntyname","zipname","pop16","afact","AFACT2"
"State code","ZIP census tabulation area","County code","State abbreviation","County name","ZCTA name","Population (2016 est.)","zcta5 to county allocation factor","county to zcta5 allocation factor"
"01","30165","01019","AL","Cherokee AL","Rome, GA",69.289,1,0.003 
"01","31905","01113","AL","Russell AL","Cusseta-Chattahoochee County unified, GA",9.888,1,0 
"01","35004","01115","AL","St. Clair AL","Moody, AL",10979.079,1,0.125 
"01","35005","01073","AL","Jefferson AL","Adamsville, AL",7954.725,1,0.012 
"01","35006","01073","AL","Jefferson AL","Adger, AL",3075.92,0.984,0.005 
"01","35006","01125","AL","Tuscaloosa AL","Adger, AL",8.47,0.003,0 
"01","35006","01127","AL","Walker AL","Adger, AL",40.712,0.013,0.001 
"01","35007","01117","AL","Shelby AL","Alabaster, AL",28313.617,1,0.134 
"01","35010","01037","AL","Coosa AL","Alexander City, AL",1252.591,0.062,0.118 
"01","35010","01051","AL","Elmore AL","Alexander City, AL",273.341,0.013,0.003 
"01","35010","01123","AL","Tallapoosa AL","Alexander City, AL",18775.17,0.925,0.461 
"01","35013","01009","AL","Blount AL","Allgood, AL",124.826,1,0.002 
"01","35014","01121","AL","Talladega AL","Alpine, AL",4425.128,1,0.055 
"01","35016","01009","AL","Blount AL","Arab, AL",299.986,0.017,0.005 
"01","35016","01043","AL","Cullman AL","Arab, AL",1943.668,0.113,0.024 
"01","35016","01095","AL","Marshall AL","Arab, AL",14920.23,0.869,0.157 
"01","35019","01043","AL","Cullman AL","Baileyton, AL",1704.684,0.79,0.021 
"01","35019","01103","AL","Morgan AL","Baileyton, AL",453.18,0.21,0.004 
"01","35020","01073","AL","Jefferson AL","Bessemer, AL",27182.482,1,0.041 
"01","35022","01073","AL","Jefferson AL","Bessemer, AL",18185.09,0.958,0.028 
"01","35022","01117","AL","Shelby AL","Bessemer, AL",790.298,0.042,0.004 
"01","35023","01073","AL","Jefferson AL","Hueytown, AL",25476.754,1,0.039 
"01","35031","01009","AL","Blount AL","Blountsville, AL",7985.866,1,0.138 
"01","35032","01121","AL","Talladega AL","Bon Air, AL",64.245,1,0.001 
"01","35033","01043","AL","Cullman AL","Bremen, AL",3172.435,0.913,0.038 
"01","35033","01127","AL","Walker AL","Bremen, AL",300.49,0.087,0.005 
"01","35034","01007","AL","Bibb AL","Brent, AL",5419.893,0.991,0.239 
"01","35034","01105","AL","Perry AL","Brent, AL",50.623,0.009,0.005 
"01","35035","01007","AL","Bibb AL","Brierfield, AL",1542.471,0.986,0.068 
"01","35035","01117","AL","Shelby AL","Brierfield, AL",21.593,0.014,0 
"01","35036","01073","AL","Jefferson AL","Brookside, AL",297.476,1,0 
"01","35040","01021","AL","Chilton AL","Calera, AL",941.384,0.059,0.021 
"01","35040","01117","AL","Shelby AL","Calera, AL",15147.38,0.941,0.072 
"01","35042","01007","AL","Bibb AL","Centreville, AL",5761.786,1,0.254 
"01","35043","01117","AL","Shelby AL","Chelsea, AL",9969.416,1,0.047 
"01","35044","01121","AL","Talladega AL","Childersburg, AL",7507.922,1,0.094 
"01","35045","01021","AL","Chilton AL","Clanton, AL",14971.534,1,0.341 
"01","35046","01021","AL","Chilton AL","Clanton, AL",5086.496,0.99,0.116 
"01","35046","01037","AL","Coosa AL","Clanton, AL",51.351,0.01,0.005 
"01","35049","01009","AL","Blount AL","Cleveland, AL",4022.63,1,0.07 
"01","35051","01117","AL","Shelby AL","Columbiana, AL",9486.816,1,0.045 
"01","35052","01115","AL","St. Clair AL","Cook Springs, AL (PO Boxes)",291.666,1,0.003 
"01","35053","01043","AL","Cullman AL","Crane Hill, AL",2291.374,0.86,0.028 
"01","35053","01133","AL","Winston AL","Crane Hill, AL",372.378,0.14,0.016 
"01","35054","01115","AL","St. Clair AL","Cropwell, AL",4318.136,1,0.049 
"01","35055","01043","AL","Cullman AL","Cullman, AL",19925.927,1,0.242 
"01","35057","01043","AL","Cullman AL","Cullman, AL",12954.366,1,0.157 
"01","35058","01043","AL","Cullman AL","Cullman, AL",10191.178,1,0.124 
"01","35060","01073","AL","Jefferson AL","Docena, AL (PO Boxes)",414.663,1,0.001 
"01","35061","01073","AL","Jefferson AL","Birmingham, AL",1467.347,1,0.002 
"01","35062","01073","AL","Jefferson AL","Dora, AL",5401.641,0.686,0.008 
"01","35062","01127","AL","Walker AL","Dora, AL",2472.745,0.314,0.038 
"01","35063","01009","AL","Blount AL","Empire, AL",423.806,0.112,0.007 
"01","35063","01073","AL","Jefferson AL","Empire, AL",246.394,0.065,0 
"01","35063","01127","AL","Walker AL","Empire, AL",3100.867,0.822,0.048 
"01","35064","01073","AL","Jefferson AL","Fairfield, AL",11476.358,1,0.017 
"01","35068","01073","AL","Jefferson AL","Fultondale, AL",7243.587,1,0.011 
"01","35070","01043","AL","Cullman AL","Garden City, AL",271.806,1,0.003 
"01","35071","01073","AL","Jefferson AL","Gardendale, AL",15686.092,1,0.024 
"01","35072","01027","AL","Clay AL","Goodwater, AL",1287.028,0.265,0.095 
"01","35072","01037","AL","Coosa AL","Goodwater, AL",3015.021,0.62,0.285 
"01","35072","01121","AL","Talladega AL","Goodwater, AL",23.362,0.005,0 
"01","35072","01123","AL","Tallapoosa AL","Goodwater, AL",540.208,0.111,0.013 
"01","35073","01073","AL","Jefferson AL","Graysville, AL",2385.816,1,0.004 
"01","35074","01007","AL","Bibb AL","Green Pond, AL (PO Boxes)",91.896,1,0.004 
"01","35077","01043","AL","Cullman AL","Hanceville, AL",13479.515,1,0.163 
"01","35078","01117","AL","Shelby AL","Harpersville, AL",2247.815,1,0.011 
"01","35079","01009","AL","Blount AL","Hayden, AL",8858.644,0.999,0.154 
"01","35079","01073","AL","Jefferson AL","Hayden, AL",10.016,0.001,0 
"01","35080","01073","AL","Jefferson AL","Helena, AL",17.027,0.001,0 
"01","35080","01117","AL","Shelby AL","Helena, AL",17127.444,0.999,0.081 
"01","35082","01027","AL","Clay AL","Hollins, AL (PO Boxes)",6.779,1,0.001 
"01","35083","01043","AL","Cullman AL","Holly Pond, AL",3351.929,1,0.041 
"01","35085","01021","AL","Chilton AL","Jemison, AL",8993.996,1,0.205 
"01","35087","01043","AL","Cullman AL","Joppa, AL",1134.404,0.529,0.014 
"01","35087","01095","AL","Marshall AL","Joppa, AL",121.735,0.057,0.001 
"01","35087","01103","AL","Morgan AL","Joppa, AL",886.44,0.414,0.007 
"01","35089","01037","AL","Coosa AL","Kellyton, AL",1378.217,0.657,0.13 
"01","35089","01123","AL","Tallapoosa AL","Kellyton, AL",719.299,0.343,0.018 
"01","35091","01073","AL","Jefferson AL","Kimberly, AL",2723.356,1,0.004 
"01","35094","01073","AL","Jefferson AL","Leeds, AL",9825.718,0.678,0.015 
"01","35094","01115","AL","St. Clair AL","Leeds, AL",3383.119,0.233,0.038 
"01","35094","01117","AL","Shelby AL","Leeds, AL",1283.695,0.089,0.006 
"01","35096","01015","AL","Calhoun AL","Lincoln, AL",349.907,0.046,0.003 
"01","35096","01121","AL","Talladega AL","Lincoln, AL",7254.835,0.954,0.091 
"01","35097","01009","AL","Blount AL","Locust Fork, AL",1759.649,1,0.03 
"01","35098","01043","AL","Cullman AL","Logan, AL",1222.613,0.873,0.015 
"01","35098","01133","AL","Winston AL","Logan, AL",177.925,0.127,0.007 
"01","35111","01007","AL","Bibb AL","Mc Calla, AL",357.703,0.022,0.016 
"01","35111","01073","AL","Jefferson AL","Mc Calla, AL",7650.238,0.46,0.012 
"01","35111","01125","AL","Tuscaloosa AL","Mc Calla, AL",8618.642,0.518,0.042 
"01","35112","01115","AL","St. Clair AL","Margaret, AL",843.411,1,0.01 
"01","35114","01117","AL","Shelby AL","Alabaster, AL",7743.194,1,0.037 
"01","35115","01007","AL","Bibb AL","Montevallo, AL",106.718,0.007,0.005 
