"","stco_fips","co_name","co_pop","co_emp","co_pcturban","co_type","st_fips","st_name","st_emp","cbsa_code","cbsa_name","cbsa_type","cbsa_pop","cbsa_emp","cbsa_size"
"1","01099","Monroe County, Alabama",21745,5400,20.96,NA,"01","Alabama",1614526,NA,NA,NA,NA,NA,"nonmetro"
"2","01079","Lawrence County, Alabama",33288,3138,8.71,"19460 counties","01","Alabama",1614526,"19460","Decatur, AL","19460",152445,45875,"small metro"
"3","01081","Lee County, Alabama",156597,43945,72.59,"12220 counties","01","Alabama",1614526,"12220","Auburn-Opelika, AL","12220",156597,43945,"small metro"
"4","01093","Marion County, Alabama",30058,7656,11.15,NA,"01","Alabama",1614526,NA,NA,NA,NA,NA,"nonmetro"
"5","01107","Pickens County, Alabama",20170,2639,0,"46220 counties","01","Alabama",1614526,"46220","Tuscaloosa, AL","46220",248122,84489,"small metro"
"6","01119","Sumter County, Alabama",13084,2991,0,NA,"01","Alabama",1614526,NA,NA,NA,NA,NA,"nonmetro"
"7","01073","Jefferson County, Alabama",659460,314992,90.17,"Mature suburban counties","01","Alabama",1614526,"13820","Birmingham-Hoover, AL","top100",1079170,432538,"large metro"
"8","01023","Choctaw County, Alabama",13188,2835,0,NA,"01","Alabama",1614526,NA,NA,NA,NA,NA,"nonmetro"
"9","01059","Franklin County, Alabama",31507,9646,29.63,NA,"01","Alabama",1614526,NA,NA,NA,NA,NA,"nonmetro"
"10","01091","Marengo County, Alabama",19743,6045,30.68,NA,"01","Alabama",1614526,NA,NA,NA,NA,NA,"nonmetro"
"11","01113","Russell County, Alabama",58480,11156,64.59,"17980 counties","01","Alabama",1614526,"17980","Columbus, GA-AL","17980",322234,97511,"medium metro"
"12","01019","Cherokee County, Alabama",25855,3905,14.26,NA,"01","Alabama",1614526,NA,NA,NA,NA,NA,"nonmetro"
"13","01039","Covington County, Alabama",37519,10187,30.35,NA,"01","Alabama",1614526,NA,NA,NA,NA,NA,"nonmetro"
"14","01041","Crenshaw County, Alabama",13866,3355,0,NA,"01","Alabama",1614526,NA,NA,NA,NA,NA,"nonmetro"
"15","01047","Dallas County, Alabama",40755,10487,54.36,"42820 counties","01","Alabama",1614526,"42820","Selma, AL","42820",40755,10487,"micro"
"16","01077","Lauderdale County, Alabama",92590,25563,50.7,"22520 counties","01","Alabama",1614526,"22520","Florence-Muscle Shoals, AL","22520",147025,48037,"small metro"
"17","01085","Lowndes County, Alabama",10362,1969,0,"33860 counties","01","Alabama",1614526,"33860","Montgomery, AL","33860",373507,131011,"medium metro"
"18","01087","Macon County, Alabama",19358,5244,44.45,NA,"01","Alabama",1614526,NA,NA,NA,NA,NA,"nonmetro"
"19","01083","Limestone County, Alabama",91695,16958,42.39,"26620 counties","01","Alabama",1614526,"26620","Huntsville, AL","26620",444908,175587,"medium metro"
"20","01117","Shelby County, Alabama",208721,83416,77.06,"Mature suburban counties","01","Alabama",1614526,"13820","Birmingham-Hoover, AL","top100",1079170,432538,"large metro"
"21","01115","St. Clair County, Alabama",86937,16848,27.2,"Emerging suburban counties","01","Alabama",1614526,"13820","Birmingham-Hoover, AL","top100",1079170,432538,"large metro"
"22","01133","Winston County, Alabama",23968,6393,15.11,NA,"01","Alabama",1614526,NA,NA,NA,NA,NA,"nonmetro"
"23","01003","Baldwin County, Alabama",203360,61341,57.72,"19300 counties","01","Alabama",1614526,"19300","Daphne-Fairhope-Foley, AL","19300",203360,61341,"small metro"
"24","01043","Cullman County, Alabama",81703,25274,26.76,"18980 counties","01","Alabama",1614526,"18980","Cullman, AL","18980",81703,25274,"micro"
"25","01051","Elmore County, Alabama",80989,14359,45.81,"33860 counties","01","Alabama",1614526,"33860","Montgomery, AL","33860",373507,131011,"medium metro"
"26","01069","Houston County, Alabama",104108,43799,66.2,"20020 counties","01","Alabama",1614526,"20020","Dothan, AL","20020",147790,50246,"small metro"
"27","01071","Jackson County, Alabama",52326,13259,22.98,"42460 counties","01","Alabama",1614526,"42460","Scottsboro, AL","42460",52326,13259,"micro"
"28","01121","Talladega County, Alabama",80888,24080,44.18,"45180 counties","01","Alabama",1614526,"45180","Talladega-Sylacauga, AL","45180",80888,24080,"micro"
"29","01125","Tuscaloosa County, Alabama",204424,78617,74.49,"46220 counties","01","Alabama",1614526,"46220","Tuscaloosa, AL","46220",248122,84489,"small metro"
"30","01129","Washington County, Alabama",16746,4979,0,"33660 counties","01","Alabama",1614526,"33660","Mobile, AL","33660",431074,156631,"medium metro"
"31","01027","Clay County, Alabama",13407,3277,0,NA,"01","Alabama",1614526,NA,NA,NA,NA,NA,"nonmetro"
